id,song,artists,album,date,time,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duplicates,uri0,uri1,uri2,blink-182,A Day To Remember,Pitbull,TJR,A$AP Rocky,Kendrick Lamar,Joey Bada$$,Yelawolf,Danny Brown,Action Bronson,Big K.R.I.T.,Empire of the Sun,Jennifer Lopez,JV.JARVIS,Krewella,M&A,Бэтси,$uicideboy$,Pouya,Metro Boomin,21 Savage
4,Adam's Song,blink-182,Enema Of The State,,249627,71,0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.382,136.028,spotify:track:6xpDh0dXrkVp0Po1qrHUd8,"{'dup_id': 2, 'num_dup': 2, 'dup_loc0': 2, 'dup_loc1': 3, 'dup_loc2': 4}",spotify:track:43NhiKnrtGqztxDqXrcUux,spotify:track:4RNeJ1qy9feTpgCI8xxQM1,spotify:track:6xpDh0dXrkVp0Po1qrHUd8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,The Downfall Of Us All,A Day To Remember,Homesick,,209093,69,0.588,0.881,0,-4.62,1,0.0666,0.000252,0.0,0.326,0.709,129.947,spotify:track:1KHKeIouP04dDtl0EetgED,"{'dup_id': 0, 'num_dup': 1, 'dup_loc0': 0, 'dup_loc1': 1}",spotify:track:6G7URf5rGe6MvNoiTtNEP7,spotify:track:1KHKeIouP04dDtl0EetgED,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Don't Stop the Party (feat. TJR),"Pitbull, TJR",Global Warming: Meltdown (Deluxe Version),,206120,66,0.722,0.958,4,-3.617,1,0.0912,0.00726,0.0,0.375,0.952,127.008,spotify:track:3Tu7uWBecS6GsLsL8UONKn,"{'dup_id': -1, 'num_dup': 0}",spotify:track:3Tu7uWBecS6GsLsL8UONKn,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)","A$AP Rocky, Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson, Big K.R.I.T.",LONG.LIVE.A$AP (Deluxe Version),,372173,64,0.489,0.878,2,-3.36,1,0.368,0.351,0.0,0.698,0.775,81.497,spotify:track:1eLU27PPFxBhbp1CBjPh9J,"{'dup_id': -1, 'num_dup': 0}",spotify:track:1eLU27PPFxBhbp1CBjPh9J,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Alive,Empire of the Sun,Ice On The Dune,,204591,63,0.524,0.885,5,-3.079,1,0.037,0.0997,0.0,0.0708,0.395,119.954,spotify:track:5WBnKCEsPwsvWHUZmLjS3s,"{'dup_id': 6, 'num_dup': 1, 'dup_loc0': 6, 'dup_loc1': 8}",spotify:track:5WBnKCEsPwsvWHUZmLjS3s,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,On The Floor,"Jennifer Lopez, Pitbull",LOVE?,,284867,63,0.73,0.777,3,-5.199,0,0.0479,0.108,0.000467,0.069,0.591,130.0,spotify:track:20zQZVyUNPbq8kZACdgYrh,"{'dup_id': -1, 'num_dup': 0}",spotify:track:20zQZVyUNPbq8kZACdgYrh,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,น้ำแดงน้ำส้ม,JV.JARVIS,น้ำแดงน้ำส้ม,,156373,62,0.845,0.631,9,-9.567,1,0.217,0.456,2.13e-06,0.137,0.526,132.084,spotify:track:1xxJiB2B3rMw8g85PPtcN7,"{'dup_id': -1, 'num_dup': 0}",spotify:track:1xxJiB2B3rMw8g85PPtcN7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Alive,Krewella,Play Hard EP,,290760,55,0.663,0.822,9,-2.909,1,0.0557,0.00413,0.00318,0.234,0.567,128.002,spotify:track:2SHnUyZq0zwmvRIl4WY77G,"{'dup_id': 5, 'num_dup': 2, 'dup_loc0': 5, 'dup_loc1': 7, 'dup_loc2': 9}",spotify:track:2SHnUyZq0zwmvRIl4WY77G,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Симпл димпл поп ит сквиш (Slowed + Reverb) [Remix],"M&A, Бэтси",Симпл димпл поп ит сквиш (Slowed + Reverb) [Remix],,176542,36,0.942,0.566,11,-6.324,0,0.0469,0.04,0.00255,0.0992,0.143,102.38,spotify:track:6WHei8TotCpUYMoEn0sEMw,"{'dup_id': -1, 'num_dup': 0}",spotify:track:6WHei8TotCpUYMoEn0sEMw,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11,$outh $ide $uicide,"$uicideboy$, Pouya",High Tide In The Snake's Nest,,169320,0,0.797,0.516,1,-6.286,1,0.0831,0.00538,0.431,0.0728,0.0477,109.997,spotify:track:4VsMart0lkjUtyQnmxloK6,"{'dup_id': -1, 'num_dup': 0}",spotify:track:4VsMart0lkjUtyQnmxloK6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
14,10 Freaky Girls (with 21 Savage),"Metro Boomin, 21 Savage",NOT ALL HEROES WEAR CAPES,,208293,0,0.81,0.353,6,-9.931,0,0.31,0.588,0.0,0.102,0.0727,88.031,spotify:track:43lYaovU2FoeuBMNusVVVW,"{'dup_id': -1, 'num_dup': 0}",spotify:track:43lYaovU2FoeuBMNusVVVW,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
